Booking ID,Status,Passenger status,Passengers,Pickup ID,Dropoff ID,Actual Pickup Time,Actual Dropoff Time,name_pickup,district_pickup,Pickup Latitude,Pickup Longitude,name_dropoff,district_dropoff,Dropoff Latitude,Dropoff Longitude
268291,Validated,Trip completed,1,40,30,2024-09-28 12:16:00,2024-09-28 12:46:00,"Irfersdorf, Am Kirchplatz",Irfersdorf,48.994215,11.461103,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632
268918,Validated,Trip completed,1,46,17,2024-09-28 12:24:00,2024-09-28 12:59:00,"Aschbuch, Waldsiedlung",Aschbuch,48.976207,11.491877,"Beilngries, Hirschberger straße",Beilngries,49.040293,11.464213
265800,Cancelled by client,Cancelled,4,0,11,2024-09-28 12:25:00,2024-09-28 12:32:00,"Kinding, Bahnhof",Kinding,48.992168,11.377365,"Kratzmuehle, Seerestaurant",Pfraundorf,49.004607,11.447705
266204,Validated,Trip completed,1,31,67,2024-09-28 12:45:00,2024-09-28 12:52:00,"Beilngries, Eichstaetter Strasse / Tankstelle",Beilngries,49.035227,11.467885,Kaldorf,Wiesenhofen,49.048472,11.431715
269060,Validated,Trip completed,1,12,31,2024-09-28 12:41:00,2024-09-28 12:45:00,"Badanhausen, Fischerstraße",Badanhausen,49.017245,11.444688,"Beilngries, Eichstaetter Strasse / Tankstelle",Beilngries,49.035227,11.467885
269058,Cancelled by client,Cancelled,1,12,28,2024-09-28 12:40:00,2024-09-28 12:45:00,"Badanhausen, Fischerstraße",Badanhausen,49.017245,11.444688,"Beilngries, Neumarkter Straße",Beilngries,49.036912,11.471075
267789,Validated,Trip completed,4,30,59,2024-09-28 13:02:00,2024-09-28 13:07:00,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632,"Kevenhuell, Kirche",Leising,49.058008,11.516585
265701,Cancelled by client,Cancelled,4,11,64,2024-09-28 13:00:00,2024-09-28 13:12:00,"Kratzmuehle, Seerestaurant",Pfraundorf,49.004607,11.447705,"Plankstetten, Biberbacher Straße",Biberbach,49.068532,11.455142
268942,Cancelled by client,Cancelled,1,28,0,2024-09-28 13:15:00,2024-09-28 13:56:00,"Beilngries, Neumarkter Straße",Beilngries,49.036912,11.471075,"Kinding, Bahnhof",Kinding,48.992168,11.377365
269041,Cancelled by client,Cancelled,1,28,0,2024-09-28 13:15:00,2024-09-28 13:56:00,"Beilngries, Neumarkter Straße",Beilngries,49.036912,11.471075,"Kinding, Bahnhof",Kinding,48.992168,11.377365
265801,Cancelled by client,Cancelled,4,11,64,2024-09-28 13:19:00,2024-09-28 13:31:00,"Kratzmuehle, Seerestaurant",Pfraundorf,49.004607,11.447705,"Plankstetten, Biberbacher Straße",Biberbach,49.068532,11.455142
269139,Validated,Trip completed,2,29,0,2024-09-28 13:27:00,2024-09-28 13:37:00,"Beilngries, Rathaus",Beilngries,49.035103,11.474083,"Kinding, Bahnhof",Kinding,48.992168,11.377365
257544,Validated,Trip completed,2,0,21,2024-09-28 13:55:00,2024-09-28 14:09:00,"Kinding, Bahnhof",Kinding,48.992168,11.377365,"Beilngries, Deutscher Hof",Beilngries,49.033525,11.475793
268923,Validated,Trip completed,1,0,30,2024-09-28 13:55:00,2024-09-28 14:05:00,"Kinding, Bahnhof",Kinding,48.992168,11.377365,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632
268944,Cancelled by client,Cancelled,1,0,28,2024-09-28 13:55:00,2024-09-28 14:08:00,"Kinding, Bahnhof",Kinding,48.992168,11.377365,"Beilngries, Neumarkter Straße",Beilngries,49.036912,11.471075
269063,Cancelled by driver,Cancelled,1,0,30,2024-09-28 13:55:00,2024-09-28 14:07:00,"Kinding, Bahnhof",Kinding,48.992168,11.377365,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632
264306,Cancelled by client,Cancelled,1,64,28,2024-09-28 14:12:00,2024-09-28 14:19:00,"Plankstetten, Biberbacher Straße",Biberbach,49.068532,11.455142,"Beilngries, Neumarkter Straße",Beilngries,49.036912,11.471075
267790,Validated,Trip completed,2,59,30,2024-09-28 14:14:00,2024-09-28 14:45:00,"Kevenhuell, Kirche",Leising,49.058008,11.516585,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632
264708,Cancelled by client,Cancelled,4,0,11,2024-09-28 14:28:00,2024-09-28 14:35:00,"Kinding, Bahnhof",Kinding,48.992168,11.377365,"Kratzmuehle, Seerestaurant",Pfraundorf,49.004607,11.447705
269194,Validated,Trip completed,1,29,12,2024-09-28 14:32:00,2024-09-28 14:41:00,"Beilngries, Rathaus",Beilngries,49.035103,11.474083,"Badanhausen, Fischerstraße",Badanhausen,49.017245,11.444688
267977,Cancelled by client,Cancelled,1,8,67,2024-09-28 14:56:00,2024-09-28 15:02:00,"Haunstetten, Gewerbegebiet",Haunstetten,49.017505,11.404733,Kaldorf,Wiesenhofen,49.048472,11.431715
268873,Validated,Trip completed,1,59,31,2024-09-28 14:54:00,2024-09-28 15:12:00,"Kevenhuell, Kirche",Leising,49.058008,11.516585,"Beilngries, Eichstaetter Strasse / Tankstelle",Beilngries,49.035227,11.467885
268999,Cancelled by client,Cancelled,1,15,3,2024-09-28 15:12:00,2024-09-28 15:43:00,"Hirschberg, Dorfkapelle",Hirschberg,49.03815,11.451488,"Kinding, Beilngrieser Straße",Kinding,49.002445,11.390002
